Message ID,Session ID,Project,Role,Timestamp
92,,InfoBotDataset.pdf,ai,2026-03-03T09:31:38.958009
93,,InfoBotDataset.pdf,user,2026-03-03T09:31:46.720672
94,,InfoBotDataset.pdf,ai,2026-03-03T09:31:46.724019
95,,InfoBotDataset.pdf,user,2026-03-03T09:32:06.725478
96,,InfoBotDataset.pdf,ai,2026-03-03T09:32:06.732627
97,,InfoBotDataset.pdf,user,2026-03-03T09:32:29.022593
98,,InfoBotDataset.pdf,ai,2026-03-03T09:32:29.026123
99,,InfoBotDataset.pdf,user,2026-03-03T09:34:28.336165
100,,InfoBotDataset.pdf,ai,2026-03-03T09:34:28.342244
101,,InfoBotDataset.pdf,user,2026-03-03T09:34:48.377255
102,,InfoBotDataset.pdf,ai,2026-03-03T09:34:48.383963
103,,InfoBotDataset.pdf,user,2026-03-04T05:38:49.846491
104,,InfoBotDataset.pdf,ai,2026-03-04T05:38:49.852698
105,,NutriSwapDataset.pdf,user,2026-03-04T05:40:27.291123
106,,NutriSwapDataset.pdf,ai,2026-03-04T05:40:27.298445
107,,NutriSwapDataset.pdf,user,2026-03-04T05:41:24.166695
108,,NutriSwapDataset.pdf,ai,2026-03-04T05:41:24.170807
109,,InfoBotDataset.pdf,user,2026-03-04T18:22:02.404216
110,,InfoBotDataset.pdf,ai,2026-03-04T18:22:02.408322
111,,InfoBotDataset.pdf,user,2026-03-04T18:22:15.080805
112,,InfoBotDataset.pdf,ai,2026-03-04T18:22:15.084303
113,,InfoBotDataset.pdf,user,2026-03-06T05:53:34.249697
114,,InfoBotDataset.pdf,ai,2026-03-06T05:53:34.252030
115,,InfoBotDataset.pdf,user,2026-03-06T05:54:19.725535
116,,InfoBotDataset.pdf,ai,2026-03-06T05:54:19.731740
117,,InfoBotDataset.pdf,user,2026-03-06T05:55:46.187364
118,,InfoBotDataset.pdf,ai,2026-03-06T05:55:46.194104
119,,InfoBotDataset.pdf,user,2026-03-06T05:56:24.101325
120,,InfoBotDataset.pdf,ai,2026-03-06T05:56:24.109085
121,,InfoBotDataset.pdf,user,2026-03-06T05:56:52.047786
122,,InfoBotDataset.pdf,ai,2026-03-06T05:56:52.051286
123,,InfoBotDataset.pdf,user,2026-03-06T05:57:26.602801
124,,InfoBotDataset.pdf,ai,2026-03-06T05:57:26.609350
125,,InfoBotDataset.pdf,user,2026-03-06T05:57:56.742288
126,,InfoBotDataset.pdf,ai,2026-03-06T05:57:56.748673
127,,InfoBotDataset.pdf,user,2026-03-06T05:58:21.774324
128,,InfoBotDataset.pdf,ai,2026-03-06T05:58:21.780581
129,,NutriSwapDataset.pdf,user,2026-03-06T06:00:24.829145
130,,NutriSwapDataset.pdf,ai,2026-03-06T06:00:24.832764
131,,NutriSwapDataset.pdf,user,2026-03-06T06:00:44.734749
132,,NutriSwapDataset.pdf,ai,2026-03-06T06:00:44.738730
133,,NutriSwapDataset.pdf,user,2026-03-06T06:01:42.045102
134,,NutriSwapDataset.pdf,ai,2026-03-06T06:01:42.052621
135,,NutriSwapDataset.pdf,user,2026-03-06T06:02:12.961976
136,,NutriSwapDataset.pdf,ai,2026-03-06T06:02:12.965335
137,,NutriSwapDataset.pdf,user,2026-03-06T06:03:41.930849
138,,NutriSwapDataset.pdf,ai,2026-03-06T06:03:41.932254
